country,streetname,n
bosnia-herzegovina,Maršala Tita,33
bosnia-herzegovina,Titova,9
bosnia-herzegovina,Titova ili Put Oficirske Škole,4
bosnia-herzegovina,Titov most,1
bosnia-herzegovina,Trg maršala Tita,1
bosnia-herzegovina,Ul Maršala Tita,1
bosnia-herzegovina,ul. Maršala Tita,1
bosnia-herzegovina,ul.Marsala Tita,1
bosnia-herzegovina,Ulica Maršala Tita,1
croatia,Maršala Tita,27
croatia,Ulica Maršala Tita,26
croatia,Obala Maršala Tita,12
croatia,Trg Maršala Tita,10
croatia,Ulica Josipa Broza Tita,9
croatia,Titov trg,8
croatia,Šetalište maršala Tita,5
croatia,Obala m. Tita,4
croatia,Trg maršala Tita,4
croatia,Obala Josipa Broza Tita,3
croatia,Obala maršala Tita,3
croatia,Trg J. B. Tita,3
croatia,Ulica maršala Tita,3
croatia,Poljana maršala Tita,2
croatia,Hodaliste marsala tita,1
croatia,Josipa Broza Tita,1
croatia,Šetalište Maršala Tita,1
croatia,Trg Jozipa Broza Tita,1
macedonia,Маршал Тито,54
macedonia,ул. Маршал Тито,10
macedonia,Marshal Tito,5
macedonia,Кеј Маршал Тито,5
macedonia,bul. Marsal Tito,3
macedonia,ul. Marshal Tito,3
macedonia,Булевар Маршал Тито,3
macedonia,Титоградска,2
macedonia,Улица Маршал Тито,2
macedonia,Marsal Tito,1
macedonia,ul. Mar[al Тито,1
macedonia,Титова Митровачка,1
macedonia,Титовелешка,1
macedonia,Титово Ужице,1
montenegro,Josipa Broza Tita,16
montenegro,Maršala Tita,3
montenegro,Marsala Tita,2
montenegro,Gjergj Kastrioti - Skënderbeu / Maršal Tito,1
montenegro,Titove Korenice,1
montenegro,trg Maršala Tita,1
serbia,Maršala Tita,6
serbia,Титоградска,6
serbia,Aleja Maršala Tita,3
serbia,Ulica Marsala Tita,2
serbia,Титова,2
serbia,Marsala Tita,1
serbia,Ктитор,1
serbia,Тито Маршал,1
slovenia,Titova cesta,41
slovenia,Cesta maršala Tita,40
slovenia,Trg maršala Tita,6
slovenia,Titov most,3
slovenia,Titova ulica,3
slovenia,Titova - Nasipna,2
slovenia,Josipa Broza Tita,1
slovenia,Prol. brigad - Titova,1
slovenia,Titov trg,1
slovenia,Titov trg / Piazza Tito,1
slovenia,Titova - Prol. brigad,1
slovenia,Ulica Josipa Broza-Tita,1
